Absorber Layer,PCE,Voc,Jsc,FF
PRGO,"{'value': 11.6, 'error': None, 'unit': '%'}","{'value': 0.97, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.8, 'error': None, 'unit': '%'}"
PTEG-1,"{'value': 5.7, 'error': None, 'unit': '%'}",,,
FCN-2,"{'value': 5.55, 'error': None, 'unit': '%'}",,,
PVDF-TrFE,"{'value': 3.9, 'error': None, 'unit': '%'}",,,
ZnO (pH 9),"{'value': 1.34, 'error': None, 'unit': '%'}","{'value': 0.61, 'error': None, 'unit': 'V'}","{'value': 4.22, 'error': None, 'unit': 'mA/cm2'}","{'value': 52.0, 'error': None, 'unit': '%'}"
ZnO (pH 9) with gold nanoparticles,"{'value': 1.91, 'error': None, 'unit': '%'}","{'value': 0.68, 'error': None, 'unit': 'V'}","{'value': 5.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.0, 'error': None, 'unit': '%'}"
ZnO (pH 9) with TiO2 nanoparticles (8 wt%),"{'value': 3.0, 'error': None, 'unit': '%'}","{'value': 0.74, 'error': None, 'unit': 'V'}","{'value': 7.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 57.99999999999999, 'error': None, 'unit': '%'}"
t-OCP,"{'value': 6.23, 'error': None, 'unit': '%'}","{'value': 0.81, 'error': None, 'unit': 'V'}","{'value': 11.17, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.86, 'error': None, 'unit': '%'}"
t-OCP-m,"{'value': 3.88, 'error': None, 'unit': '%'}","{'value': 0.8, 'error': None, 'unit': 'V'}","{'value': 9.39, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.54, 'error': None, 'unit': '%'}"
t-MCP,"{'value': 2.45, 'error': None, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 5.74, 'error': None, 'unit': 'mA/cm2'}","{'value': 50.42, 'error': None, 'unit': '%'}"
"c,t-MCP-m","{'value': 3.85, 'error': None, 'unit': '%'}","{'value': 0.81, 'error': None, 'unit': 'V'}","{'value': 8.18, 'error': None, 'unit': 'mA/cm2'}","{'value': 58.22, 'error': None, 'unit': '%'}"
t-PCP,"{'value': 0.56, 'error': None, 'unit': '%'}","{'value': 0.66, 'error': None, 'unit': 'V'}","{'value': 1.57, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.32, 'error': None, 'unit': '%'}"
P25,"{'value': 6.79, 'error': None, 'unit': '%'}","{'value': 0.749, 'error': None, 'unit': 'V'}","{'value': 14.63, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.0, 'error': None, 'unit': '%'}"
PTZ1,"{'value': 7.57, 'error': None, 'unit': '%'}","{'value': 0.76, 'error': None, 'unit': 'V'}","{'value': 15.32, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.0, 'error': None, 'unit': '%'}"
PTZ2,"{'value': 8.78, 'error': None, 'unit': '%'}","{'value': 0.766, 'error': None, 'unit': 'V'}","{'value': 15.91, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.0, 'error': None, 'unit': '%'}"
PTZ3,"{'value': 7.39, 'error': None, 'unit': '%'}","{'value': 0.775, 'error': None, 'unit': 'V'}","{'value': 13.24, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.0, 'error': None, 'unit': '%'}"
Poly(3-hexylthiophene) (P3HT),"{'value': 0.65, 'error': None, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 2.19, 'error': None, 'unit': 'mA/cm2'}","{'value': 35.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 13.9, 'error': None, 'unit': '%'}","{'value': 1.07, 'error': None, 'unit': 'V'}","{'value': 19.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 15.7, 'error': None, 'unit': '%'}","{'value': 1.07, 'error': None, 'unit': 'V'}","{'value': 22.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 8.7, 'error': None, 'unit': '%'}","{'value': 0.81, 'error': None, 'unit': 'V'}","{'value': 20.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 4.3, 'error': None, 'unit': '%'}","{'value': 0.76, 'error': None, 'unit': 'V'}","{'value': 13.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 42.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 10.2, 'error': None, 'unit': '%'}","{'value': 1.03, 'error': None, 'unit': 'V'}","{'value': 13.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 15.7, 'error': None, 'unit': '%'}","{'value': 1.03, 'error': None, 'unit': 'V'}","{'value': 20.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 75.0, 'error': None, 'unit': '%'}"
mp-Al2O3-MAPbI3,"{'value': 13.1, 'error': None, 'unit': '%'}","{'value': 0.98, 'error': None, 'unit': 'V'}","{'value': 20.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.0, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 5.5, 'error': None, 'unit': '%'}","{'value': 1.08, 'error': None, 'unit': 'V'}","{'value': 11.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 45.0, 'error': None, 'unit': '%'}"
mp-ZnO-MAPbI3,"{'value': 2.2, 'error': None, 'unit': '%'}","{'value': 0.99, 'error': None, 'unit': 'V'}","{'value': 5.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 40.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 10.3, 'error': None, 'unit': '%'}","{'value': 1.03, 'error': None, 'unit': 'V'}","{'value': 23.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 50.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 10.8, 'error': None, 'unit': '%'}","{'value': 1.01, 'error': None, 'unit': 'V'}","{'value': 16.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 12.0, 'error': None, 'unit': '%'}","{'value': 1.05, 'error': None, 'unit': 'V'}","{'value': 15.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 11.0, 'error': None, 'unit': '%'}","{'value': 1.02, 'error': None, 'unit': 'V'}","{'value': 14.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.0, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 12.2, 'error': None, 'unit': '%'}","{'value': 1.0, 'error': None, 'unit': 'V'}","{'value': 18.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.0, 'error': None, 'unit': '%'}"
mp-ZnO-MAPbI3,"{'value': 8.9, 'error': None, 'unit': '%'}","{'value': 1.02, 'error': None, 'unit': 'V'}","{'value': 17.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.0, 'error': None, 'unit': '%'}"
mp-ZnO-MAPbI3,"{'value': 2.6, 'error': None, 'unit': '%'}","{'value': 0.8, 'error': None, 'unit': 'V'}","{'value': 7.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 43.0, 'error': None, 'unit': '%'}"
N719/TiO2,"{'value': 5.43, 'error': None, 'unit': '%'}","{'value': 0.71, 'error': None, 'unit': 'V'}","{'value': 12.68, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': None, 'unit': '%'}"
DM/TiO2,"{'value': 0.69, 'error': None, 'unit': '%'}","{'value': 0.51, 'error': None, 'unit': 'V'}","{'value': 3.65, 'error': None, 'unit': 'mA/cm2'}","{'value': 37.0, 'error': None, 'unit': '%'}"
DE/TiO2,"{'value': 0.66, 'error': None, 'unit': '%'}","{'value': 0.55, 'error': None, 'unit': 'V'}","{'value': 2.46, 'error': None, 'unit': 'mA/cm2'}","{'value': 49.0, 'error': None, 'unit': '%'}"
DP/TiO2,"{'value': 0.49, 'error': None, 'unit': '%'}","{'value': 0.45, 'error': None, 'unit': 'V'}","{'value': 2.44, 'error': None, 'unit': 'mA/cm2'}","{'value': 45.0, 'error': None, 'unit': '%'}"
DM/N719/TiO2,"{'value': 7.0, 'error': None, 'unit': '%'}","{'value': 0.72, 'error': None, 'unit': 'V'}","{'value': 16.57, 'error': None, 'unit': 'mA/cm2'}","{'value': 59.0, 'error': None, 'unit': '%'}"
DE/N719/TiO2,"{'value': 6.99, 'error': None, 'unit': '%'}","{'value': 0.72, 'error': None, 'unit': 'V'}","{'value': 15.83, 'error': None, 'unit': 'mA/cm2'}","{'value': 61.0, 'error': None, 'unit': '%'}"
DP/N719/TiO2,"{'value': 6.91, 'error': None, 'unit': '%'}","{'value': 0.71, 'error': None, 'unit': 'V'}","{'value': 15.64, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.0, 'error': None, 'unit': '%'}"
CIGS,"{'value': 23.35, 'error': None, 'unit': '%'}","{'value': 0.386, 'error': None, 'unit': 'V'}","{'value': 29.78, 'error': None, 'unit': 'mA/cm2'}","{'value': 44.0, 'error': None, 'unit': '%'}"
CZTS,"{'value': 12.7, 'error': None, 'unit': '%'}","{'value': 0.324, 'error': None, 'unit': 'V'}","{'value': 25.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 48.0, 'error': None, 'unit': '%'}"
IID-IC-O,"{'value': 4.2, 'error': None, 'unit': '%'}","{'value': 0.78, 'error': None, 'unit': 'V'}","{'value': 10.56, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.0, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 10.42, 'error': None, 'unit': '%'}",,"{'value': 22.13, 'error': None, 'unit': 'mA/cm2'}",
quasi-2D perovskite,"{'value': 21.3, 'error': None, 'unit': '%'}","{'value': 2.06, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 78.3, 'error': None, 'unit': '%'}"
MAPbI3,"{'value': 63.0, 'error': None, 'unit': '%'}","{'value': 95.0, 'error': None, 'unit': '%'}","{'value': 83.0, 'error': None, 'unit': '%'}","{'value': 77.0, 'error': None, 'unit': '%'}"
MA-NVA,"{'value': 90.0, 'error': None, 'unit': '%'}","{'value': 97.0, 'error': None, 'unit': '%'}","{'value': 10.0, 'error': None, 'unit': '%'}","{'value': 10.0, 'error': None, 'unit': '%'}"
PBDTT-TTSO,"{'value': 4.7, 'error': None, 'unit': '%'}","{'value': 0.68, 'error': None, 'unit': 'V'}","{'value': 12.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.6, 'error': None, 'unit': '%'}"
PBDTT-TTSE,"{'value': 5.8, 'error': None, 'unit': '%'}","{'value': 0.7, 'error': None, 'unit': 'V'}","{'value': 14.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.7, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 3.85, 'error': None, 'unit': '%'}","{'value': 0.61, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.0, 'error': None, 'unit': '%'}"
PTB7:PC71BM,"{'value': 6.5, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
PBDTTPD:PC71BM,,,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
DT-capped CdSe QDs,"{'value': 0.65, 'error': None, 'unit': '%'}","{'value': 0.47, 'error': None, 'unit': 'V'}","{'value': 5.03, 'error': None, 'unit': 'mA/cm2'}","{'value': 27.46, 'error': None, 'unit': '%'}"
Mesoporous titania,"{'value': 5.0, 'error': None, 'unit': '%'}",,,
P3HT/ZnO,"{'value': 0.18, 'error': 0.01, 'unit': '%'}","{'value': 0.38, 'error': 0.01, 'unit': 'V'}","{'value': 1.42, 'error': 0.03, 'unit': 'mA/cm2'}","{'value': 33.0, 'error': 0.01, 'unit': '%'}"
P3HT/ZnO,"{'value': 0.24, 'error': 0.02, 'unit': '%'}","{'value': 0.57, 'error': 0.02, 'unit': 'V'}","{'value': 1.3, 'error': 0.04, 'unit': 'mA/cm2'}","{'value': 32.0, 'error': 0.01, 'unit': '%'}"
P3HT-b-PEO/ZnO,"{'value': 0.21, 'error': 0.02, 'unit': '%'}","{'value': 0.53, 'error': 0.01, 'unit': 'V'}","{'value': 1.22, 'error': 0.03, 'unit': 'mA/cm2'}","{'value': 32.0, 'error': 0.02, 'unit': '%'}"
P3HT-b-PEO/ZnO,"{'value': 0.49, 'error': 0.01, 'unit': '%'}","{'value': 0.58, 'error': 0.01, 'unit': 'V'}","{'value': 2.08, 'error': 0.05, 'unit': 'mA/cm2'}","{'value': 41.0, 'error': 0.01, 'unit': '%'}"
N/A,"{'value': 16.1, 'error': None, 'unit': '%'}",,,
PTB7-Th:THBT-ht:PC71BM,"{'value': 10.02, 'error': None, 'unit': '%'}","{'value': 0.79, 'error': None, 'unit': 'V'}","{'value': 18.16, 'error': None, 'unit': 'mA/cm2'}","{'value': 70.0, 'error': None, 'unit': '%'}"
PIF-DBT35,"{'value': 1.24, 'error': None, 'unit': '%'}","{'value': 0.71, 'error': None, 'unit': 'V'}","{'value': 3.91, 'error': None, 'unit': 'mA/cm2'}","{'value': 45.0, 'error': None, 'unit': '%'}"
PIF-DBT50,"{'value': 1.48, 'error': None, 'unit': '%'}","{'value': 0.69, 'error': None, 'unit': 'V'}","{'value': 5.26, 'error': None, 'unit': 'mA/cm2'}","{'value': 41.0, 'error': None, 'unit': '%'}"
PIF-DTP35,"{'value': 0.23, 'error': None, 'unit': '%'}","{'value': 0.5, 'error': None, 'unit': 'V'}","{'value': 1.53, 'error': None, 'unit': 'mA/cm2'}","{'value': 30.0, 'error': None, 'unit': '%'}"
PIF-DTP50,"{'value': 0.39, 'error': None, 'unit': '%'}","{'value': 0.61, 'error': None, 'unit': 'V'}","{'value': 1.79, 'error': None, 'unit': 'mA/cm2'}","{'value': 36.0, 'error': None, 'unit': '%'}"
Not provided,"{'value': 6.33, 'error': None, 'unit': '%'}","{'value': 0.71, 'error': None, 'unit': 'V'}","{'value': 15.91, 'error': None, 'unit': 'mA/cm2'}",
N/A,"{'value': 18.34, 'error': None, 'unit': '%'}",,,
MA0.8HA0.2SnI3,"{'value': 2.1, 'error': None, 'unit': '%'}","{'value': 0.38, 'error': None, 'unit': 'V'}","{'value': 14.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 49.0, 'error': None, 'unit': '%'}"
PDTTDPP (1:1),"{'value': 0.29, 'error': None, 'unit': '%'}","{'value': 0.65, 'error': None, 'unit': 'V'}","{'value': 1.47, 'error': None, 'unit': 'mA/cm2'}","{'value': 31.0, 'error': None, 'unit': '%'}"
PDTTDPP (1:2),"{'value': 0.13, 'error': None, 'unit': '%'}","{'value': 0.67, 'error': None, 'unit': 'V'}","{'value': 0.77, 'error': None, 'unit': 'mA/cm2'}","{'value': 31.0, 'error': None, 'unit': '%'}"
PTDTTTDPP (1:1),"{'value': 1.39, 'error': None, 'unit': '%'}","{'value': 0.6, 'error': None, 'unit': 'V'}","{'value': 5.15, 'error': None, 'unit': 'mA/cm2'}","{'value': 45.0, 'error': None, 'unit': '%'}"
PTDTTTDPP (1:2),"{'value': 0.36, 'error': None, 'unit': '%'}","{'value': 0.57, 'error': None, 'unit': 'V'}","{'value': 2.67, 'error': None, 'unit': 'mA/cm2'}","{'value': 24.0, 'error': None, 'unit': '%'}"
PTDTTTDPP (1:4),"{'value': 0.85, 'error': None, 'unit': '%'}","{'value': 0.54, 'error': None, 'unit': 'V'}","{'value': 2.76, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.99999999999999, 'error': None, 'unit': '%'}"
DPTFBr,"{'value': 16.0, 'error': None, 'unit': '%'}",,,
"Cu2ZnSn(S,Se)4","{'value': 12.7, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
CH3NH3PbI3(Cl),"{'value': 14.03, 'error': None, 'unit': '%'}","{'value': 0.908, 'error': None, 'unit': 'V'}","{'value': 22.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.5, 'error': None, 'unit': '%'}"
CsPbI3,"{'value': 16.6, 'error': None, 'unit': '%'}",,,
ZnO/ALD HfO2,"{'value': 6.3, 'error': None, 'unit': '%'}","{'value': 0.81, 'error': None, 'unit': 'V'}","{'value': 10.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.0, 'error': None, 'unit': '%'}"
Si3N4,"{'value': 13.8, 'error': None, 'unit': '%'}",,"{'value': 36.76, 'error': None, 'unit': 'mA/cm2'}","{'value': 64.7, 'error': None, 'unit': '%'}"
????,"{'value': 14.0, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
PSP-CF3,"{'value': 7.0, 'error': None, 'unit': '%'}","{'value': 0.68, 'error': None, 'unit': 'V'}","{'value': 15.16, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.0, 'error': None, 'unit': '%'}"
PSP-CN,,,"{'value': 8.32, 'error': None, 'unit': 'mA/cm2'}","{'value': 70.0, 'error': None, 'unit': '%'}"
PSP-OCH3,,,"{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}",
poly(3-hexylthiophene) (P3HT),"{'value': 4.07, 'error': None, 'unit': '%'}","{'value': 0.5, 'error': None, 'unit': 'V'}","{'value': 16.09, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.0, 'error': None, 'unit': '%'}"
CZGTSe,"{'value': 4.72, 'error': None, 'unit': '%'}",,,
Perovskite,"{'value': 17.58, 'error': None, 'unit': '%'}",,,
P3HT:PCBM,"{'value': 2.87, 'error': None, 'unit': '%'}","{'value': 0.61, 'error': None, 'unit': 'V'}","{'value': 8.99, 'error': None, 'unit': 'mA/cm2'}","{'value': 52.0, 'error': None, 'unit': '%'}"
P3HT:PCBM,"{'value': 2.51, 'error': None, 'unit': '%'}","{'value': 0.63, 'error': None, 'unit': 'V'}","{'value': 7.84, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.0, 'error': None, 'unit': '%'}"
BTIC-CF3-m,"{'value': 16.36, 'error': None, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 25.98, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.06, 'error': None, 'unit': '%'}"
BTIC-CF3-m,"{'value': 15.87, 'error': None, 'unit': '%'}","{'value': 0.84, 'error': None, 'unit': 'V'}","{'value': 25.82, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.19, 'error': None, 'unit': '%'}"
BTIC-CF3-m,"{'value': 15.4, 'error': None, 'unit': '%'}","{'value': 0.79, 'error': None, 'unit': 'V'}","{'value': 26.51, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.51, 'error': None, 'unit': '%'}"
CSDPP5:PC71BM,"{'value': 2.42, 'error': None, 'unit': '%'}",,"{'value': 6.2, 'error': None, 'unit': 'mA/cm2'}",
CSDPP6:PC71BM,"{'value': 3.06, 'error': None, 'unit': '%'}",,"{'value': 22.0, 'error': None, 'unit': 'mA/cm2'}",
CSDPP8:PC71BM,"{'value': 2.43, 'error': None, 'unit': '%'}",,"{'value': 32.0, 'error': None, 'unit': 'mA/cm2'}",
CSDPP6:PC71BM,"{'value': 4.69, 'error': None, 'unit': '%'}",,"{'value': 10.48, 'error': None, 'unit': 'mA/cm2'}",
CSDPP8:PC71BM,"{'value': 4.14, 'error': None, 'unit': '%'}",,"{'value': 8.92, 'error': None, 'unit': 'mA/cm2'}",
PAZ4 composite,"{'value': 3.38, 'error': None, 'unit': '%'}","{'value': 0.78, 'error': None, 'unit': 'V'}","{'value': 2.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 55.00000000000001, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 14.1, 'error': None, 'unit': '%'}","{'value': 0.866, 'error': None, 'unit': 'V'}","{'value': 20.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 78.3, 'error': None, 'unit': '%'}"
MAPbI3−xClx,"{'value': 16.2, 'error': None, 'unit': '%'}","{'value': 0.71, 'error': None, 'unit': 'V'}",,
Quantum dots,"{'value': 15.0, 'error': None, 'unit': '%'}",,,
SF-PDI2,"{'value': 8.2, 'error': None, 'unit': '%'}","{'value': 0.9, 'error': None, 'unit': 'V'}","{'value': 15.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': None, 'unit': '%'}"
FTAZ,"{'value': 7.5, 'error': None, 'unit': '%'}","{'value': 0.8, 'error': None, 'unit': 'V'}","{'value': 14.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 50.0, 'error': None, 'unit': '%'}"
PyCNTAZ,"{'value': 6.8, 'error': None, 'unit': '%'}","{'value': 0.7, 'error': None, 'unit': 'V'}","{'value': 13.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 40.0, 'error': None, 'unit': '%'}"
PCBM,"{'value': 5.5, 'error': None, 'unit': '%'}","{'value': 0.6, 'error': None, 'unit': 'V'}","{'value': 12.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 30.0, 'error': None, 'unit': '%'}"
CeOx,"{'value': 9.0, 'error': None, 'unit': '%'}","{'value': 1.0, 'error': None, 'unit': 'V'}","{'value': 16.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 70.0, 'error': None, 'unit': '%'}"
MeBQPH,"{'value': 1.04, 'error': None, 'unit': '%'}","{'value': 0.87, 'error': None, 'unit': 'V'}","{'value': 2.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 44.0, 'error': None, 'unit': '%'}"
MeBQPME,"{'value': 0.49, 'error': None, 'unit': '%'}","{'value': 0.92, 'error': None, 'unit': 'V'}","{'value': 1.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 35.0, 'error': None, 'unit': '%'}"
MeBQPNMe,"{'value': 0.5, 'error': None, 'unit': '%'}","{'value': 0.97, 'error': None, 'unit': 'V'}","{'value': 1.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 30.0, 'error': None, 'unit': '%'}"
CdS0.57Se0.43/CdSe QDs,"{'value': 4.46, 'error': None, 'unit': '%'}","{'value': 0.5668, 'error': None, 'unit': 'V'}","{'value': 14.22, 'error': None, 'unit': 'mA/cm2'}","{'value': 55.3, 'error': None, 'unit': '%'}"
C-GB2,"{'value': 5.61, 'error': None, 'unit': '%'}","{'value': 0.64, 'error': None, 'unit': 'V'}","{'value': 13.23, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.0, 'error': None, 'unit': '%'}"
GB-G4,"{'value': 4.94, 'error': None, 'unit': '%'}","{'value': 0.66, 'error': None, 'unit': 'V'}","{'value': 13.83, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.0, 'error': None, 'unit': '%'}"
C-GB-G2,"{'value': 6.29, 'error': None, 'unit': '%'}","{'value': 0.67, 'error': None, 'unit': 'V'}","{'value': 13.59, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.0, 'error': None, 'unit': '%'}"
P3HT:PC61BM,"{'value': 3.5, 'error': None, 'unit': '%'}","{'value': 0.57, 'error': None, 'unit': 'V'}","{'value': 11.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.0, 'error': None, 'unit': '%'}"
P3HT:PC61BM,"{'value': 3.6, 'error': None, 'unit': '%'}","{'value': 0.64, 'error': None, 'unit': 'V'}","{'value': 8.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.0, 'error': None, 'unit': '%'}"
PIDT-PhanQ:PC71BM,"{'value': 5.0, 'error': None, 'unit': '%'}",,,
PCDTBT:PC71BM,"{'value': 5.3, 'error': None, 'unit': '%'}",,,
PTB7:PC71BM,"{'value': 5.9, 'error': None, 'unit': '%'}",,,
PTB7:PC71BM,"{'value': 6.71, 'error': None, 'unit': '%'}",,"{'value': 14.84, 'error': None, 'unit': 'mA/cm2'}",
PTB7-Th:PC71BM,"{'value': 6.6, 'error': None, 'unit': '%'}",,,
P3HT:PC61BM,"{'value': 7.39, 'error': None, 'unit': '%'}",,,
MAPbI3−xClx,"{'value': 20.52, 'error': None, 'unit': '%'}","{'value': 1.144, 'error': None, 'unit': 'V'}","{'value': 21.67, 'error': None, 'unit': 'mA/cm2'}","{'value': 82.78, 'error': None, 'unit': '%'}"
F5T8P-C2,"{'value': 1.86, 'error': None, 'unit': '%'}","{'value': 1.0, 'error': None, 'unit': 'V'}","{'value': 4.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 43.0, 'error': None, 'unit': '%'}"
F5T8P-C4,"{'value': 2.33, 'error': None, 'unit': '%'}","{'value': 1.04, 'error': None, 'unit': 'V'}","{'value': 4.82, 'error': None, 'unit': 'mA/cm2'}","{'value': 47.0, 'error': None, 'unit': '%'}"
F5T8P-C6,"{'value': 2.04, 'error': None, 'unit': '%'}","{'value': 0.96, 'error': None, 'unit': 'V'}","{'value': 4.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 46.0, 'error': None, 'unit': '%'}"
PBDTTT-EFT,"{'value': 9.0, 'error': None, 'unit': '%'}","{'value': 0.79, 'error': None, 'unit': 'V'}","{'value': 18.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.0, 'error': None, 'unit': '%'}"
"Cu(In,Ga)Se2","{'value': 11.6, 'error': None, 'unit': '%'}","{'value': 0.56, 'error': None, 'unit': 'V'}","{'value': 37.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.2, 'error': None, 'unit': '%'}"
P3HT-b-F8TBT,"{'value': 1.22, 'error': None, 'unit': '%'}",,,
P17,"{'value': 6.5, 'error': None, 'unit': '%'}","{'value': 0.8, 'error': None, 'unit': 'V'}","{'value': 14.48, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.0, 'error': None, 'unit': '%'}"
P18,"{'value': 5.6, 'error': None, 'unit': '%'}","{'value': 0.88, 'error': None, 'unit': 'V'}","{'value': 12.68, 'error': None, 'unit': 'mA/cm2'}","{'value': 50.0, 'error': None, 'unit': '%'}"
P19,"{'value': 6.5, 'error': None, 'unit': '%'}","{'value': 0.85, 'error': None, 'unit': 'V'}","{'value': 13.95, 'error': None, 'unit': 'mA/cm2'}","{'value': 55.0, 'error': None, 'unit': '%'}"
P20,"{'value': 0.8, 'error': None, 'unit': '%'}","{'value': 0.36, 'error': None, 'unit': 'V'}","{'value': 4.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.0, 'error': None, 'unit': '%'}"
P21,"{'value': 7.0, 'error': None, 'unit': '%'}","{'value': 0.95, 'error': None, 'unit': 'V'}","{'value': 12.21, 'error': None, 'unit': 'mA/cm2'}","{'value': 61.0, 'error': None, 'unit': '%'}"
P22,"{'value': 6.5, 'error': None, 'unit': '%'}","{'value': 0.75, 'error': None, 'unit': 'V'}","{'value': 14.59, 'error': None, 'unit': 'mA/cm2'}","{'value': 59.0, 'error': None, 'unit': '%'}"
P23,"{'value': 5.2, 'error': None, 'unit': '%'}","{'value': 0.91, 'error': None, 'unit': 'V'}","{'value': 9.95, 'error': None, 'unit': 'mA/cm2'}","{'value': 57.0, 'error': None, 'unit': '%'}"
P24,"{'value': 6.8, 'error': None, 'unit': '%'}","{'value': 0.89, 'error': None, 'unit': 'V'}","{'value': 13.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.0, 'error': None, 'unit': '%'}"
P4,"{'value': 3.41, 'error': None, 'unit': '%'}","{'value': 0.82, 'error': None, 'unit': 'V'}","{'value': 10.03, 'error': None, 'unit': 'mA/cm2'}","{'value': 42.0, 'error': None, 'unit': '%'}"
