Absorber Layer,PCE,Voc,Jsc,FF
SubPc:C60,"{'value': 3.11, 'error': None, 'unit': '%'}","{'value': 1.11, 'error': None, 'unit': 'V'}","{'value': 4.78, 'error': None, 'unit': 'mA/cm2'}","{'value': 58.59, 'error': None, 'unit': '%'}"
P3HT:PC61BM,"{'value': 3.56, 'error': None, 'unit': '%'}","{'value': 0.6, 'error': None, 'unit': 'V'}","{'value': 8.88, 'error': None, 'unit': 'mA/cm2'}","{'value': 63.5, 'error': None, 'unit': '%'}"
PB3T2:IT-M,"{'value': 11.4, 'error': None, 'unit': '%'}","{'value': 0.96, 'error': None, 'unit': 'V'}","{'value': 18.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.64, 'error': None, 'unit': '%'}"
PBDB-TF:IT-4F,"{'value': 13.0, 'error': None, 'unit': '%'}","{'value': 0.87, 'error': None, 'unit': 'V'}","{'value': 20.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.78, 'error': None, 'unit': '%'}"
PBDB-TCl:IT-4F,"{'value': 13.7, 'error': None, 'unit': '%'}","{'value': 0.87, 'error': None, 'unit': 'V'}","{'value': 20.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.78, 'error': None, 'unit': '%'}"
TQ1a:PC70BM,"{'value': 5.4, 'error': None, 'unit': '%'}","{'value': 0.86, 'error': None, 'unit': 'V'}","{'value': 9.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.67, 'error': None, 'unit': '%'}"
PB3T:IT-M,"{'value': 12.1, 'error': None, 'unit': '%'}","{'value': 0.98, 'error': None, 'unit': 'V'}","{'value': 17.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.66, 'error': None, 'unit': '%'}"
PTB7:PC71BM,"{'value': 9.12, 'error': None, 'unit': '%'}","{'value': 0.76, 'error': None, 'unit': 'V'}","{'value': 18.3, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.78, 'error': None, 'unit': '%'}"
FAPbI3,"{'value': 21.11, 'error': None, 'unit': '%'}",,,
MY-102,"{'value': 6.62, 'error': None, 'unit': '%'}",,,
TiO2–SnO2 MSC,"{'value': 0.802, 'error': None, 'unit': '%'}","{'value': 17.16, 'error': None, 'unit': 'V'}","{'value': 0.621, 'error': None, 'unit': 'mA/cm2'}","{'value': 8.54, 'error': None, 'unit': '%'}"
Pristine SnO2 MSC,"{'value': 0.546, 'error': None, 'unit': '%'}","{'value': 10.94, 'error': None, 'unit': 'V'}","{'value': 0.633, 'error': None, 'unit': 'mA/cm2'}","{'value': 3.76, 'error': None, 'unit': '%'}"
rutile TiO2 nanorods,"{'value': 7.5, 'error': None, 'unit': '%'}",,"{'value': 15.6, 'error': None, 'unit': 'mA/cm2'}",
CeO2,"{'value': 8.6, 'error': None, 'unit': '%'}","{'value': 0.69, 'error': None, 'unit': 'V'}","{'value': 19.3, 'error': None, 'unit': 'mA/cm2'}",
MoTe2,"{'value': 0.5, 'error': None, 'unit': '%'}",,,"{'value': 51.0, 'error': None, 'unit': '%'}"
PM7:TPIC-4Cl,"{'value': 15.31, 'error': None, 'unit': '%'}","{'value': 0.881, 'error': None, 'unit': 'V'}","{'value': 23.03, 'error': None, 'unit': 'mA/cm2'}","{'value': 75.5, 'error': None, 'unit': '%'}"
MAxFA1−xPbI3−yBry,"{'value': 20.55, 'error': None, 'unit': '%'}","{'value': 1.13, 'error': None, 'unit': 'V'}","{'value': 23.51, 'error': None, 'unit': 'mA/cm2'}","{'value': 76.94, 'error': None, 'unit': '%'}"
Hyperbranched zinc phthalocyanine (5),"{'value': 1.15, 'error': None, 'unit': '%'}","{'value': 0.491, 'error': None, 'unit': 'V'}","{'value': 3.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.1, 'error': None, 'unit': '%'}"
Hyperbranched metal-free phthalocyanine (1),"{'value': 0.234, 'error': None, 'unit': '%'}","{'value': 0.434, 'error': None, 'unit': 'V'}","{'value': 0.837, 'error': None, 'unit': 'mA/cm2'}","{'value': 64.4, 'error': None, 'unit': '%'}"
Hyperbranched aluminum phthalocyanine chloride (2),"{'value': 0.294, 'error': None, 'unit': '%'}","{'value': 0.424, 'error': None, 'unit': 'V'}","{'value': 1.05, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.2, 'error': None, 'unit': '%'}"
Hyperbranched cobalt phthalocyanine (3),"{'value': 0.096, 'error': None, 'unit': '%'}","{'value': 0.324, 'error': None, 'unit': 'V'}","{'value': 0.425, 'error': None, 'unit': 'mA/cm2'}","{'value': 70.0, 'error': None, 'unit': '%'}"
Hyperbranched copper phthalocyanine (4),"{'value': 0.233, 'error': None, 'unit': '%'}","{'value': 0.42, 'error': None, 'unit': 'V'}","{'value': 0.805, 'error': None, 'unit': 'mA/cm2'}","{'value': 68.8, 'error': None, 'unit': '%'}"
"P3HT:PC60BM, PTB7:PC70BM","{'value': 7.66, 'error': None, 'unit': '%'}","{'value': 0.74, 'error': None, 'unit': 'V'}","{'value': 19.84, 'error': None, 'unit': 'mA/cm2'}","{'value': 63.0, 'error': None, 'unit': '%'}"
CH3NH3PbI3−xBrx,"{'value': 12.1, 'error': None, 'unit': '%'}",,,
Perovskite,"{'value': 15.7, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
JK-216,"{'value': 6.29, 'error': None, 'unit': '%'}","{'value': 0.61, 'error': None, 'unit': 'V'}","{'value': 13.93, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.01, 'error': None, 'unit': '%'}"
JK-217,"{'value': 1.96, 'error': None, 'unit': '%'}","{'value': 0.7, 'error': None, 'unit': 'V'}","{'value': 5.08, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.54, 'error': None, 'unit': '%'}"
"AFB-30, AFB-31, AFB-32, EO3","{'value': 4.53, 'error': None, 'unit': '%'}","{'value': 0.829, 'error': None, 'unit': 'V'}","{'value': 7.17, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.78, 'error': None, 'unit': '%'}"
Porphyrin sensitized solar cells (PSSCs),"{'value': 2.45, 'error': None, 'unit': '%'}","{'value': 0.48, 'error': None, 'unit': 'V'}","{'value': 10.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 50.7, 'error': None, 'unit': '%'}"
PSCs,"{'value': 7.91, 'error': None, 'unit': '%'}","{'value': 0.75, 'error': None, 'unit': 'V'}","{'value': 15.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.0, 'error': None, 'unit': '%'}"
PSCs,"{'value': 3.17, 'error': None, 'unit': '%'}","{'value': 0.585, 'error': None, 'unit': 'V'}","{'value': 9.04, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.0, 'error': None, 'unit': '%'}"
DSSCs,"{'value': 7.96, 'error': None, 'unit': '%'}","{'value': 0.77, 'error': None, 'unit': 'V'}","{'value': 16.54, 'error': None, 'unit': 'mA/cm2'}","{'value': 63.0, 'error': None, 'unit': '%'}"
Perovskite solar cells (PSCs),"{'value': 14.7, 'error': None, 'unit': '%'}","{'value': 1.03, 'error': None, 'unit': 'V'}","{'value': 23.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 60.5, 'error': None, 'unit': '%'}"
QDSCs,"{'value': 5.96, 'error': None, 'unit': '%'}","{'value': 0.74, 'error': None, 'unit': 'V'}",,"{'value': 12.34, 'error': None, 'unit': '%'}"
CH3NH3PbI3,"{'value': 8.76, 'error': None, 'unit': '%'}","{'value': 0.93, 'error': None, 'unit': 'V'}","{'value': 18.18, 'error': None, 'unit': 'mA/cm2'}","{'value': 51.8, 'error': None, 'unit': '%'}"
N/A,"{'value': 9.24, 'error': None, 'unit': '%'}","{'value': 0.78, 'error': None, 'unit': 'V'}","{'value': 17.33, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.11, 'error': None, 'unit': '%'}"
"Cu2(Cd,Zn)SnS4","{'value': 1.9, 'error': None, 'unit': '%'}",,,
CZTS (Cu2ZnSnS4),"{'value': 1.9, 'error': None, 'unit': '%'}","{'value': 0.54, 'error': None, 'unit': 'V'}",,
Au-TiO2,"{'value': 10.1, 'error': None, 'unit': '%'}","{'value': 863.0, 'error': None, 'unit': 'V'}","{'value': 15.71, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.2, 'error': None, 'unit': '%'}"
????,,,"{'value': 2.0, 'error': None, 'unit': ''}",
N/A,"{'value': 5.1, 'error': None, 'unit': '%'}",,"{'value': 10.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.68, 'error': None, 'unit': '%'}"
N/A,"{'value': 8.24, 'error': None, 'unit': '%'}","{'value': 0.78, 'error': None, 'unit': 'V'}","{'value': 15.09, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.7, 'error': None, 'unit': '%'}"
Blend of P2 and PCBM,"{'value': 0.63, 'error': None, 'unit': '%'}","{'value': 0.51, 'error': None, 'unit': 'V'}","{'value': 3.23, 'error': None, 'unit': 'mA/cm2'}","{'value': 39.0, 'error': None, 'unit': '%'}"
Not provided,"{'value': 7.81, 'error': None, 'unit': '%'}",,,
N/A,,"{'value': 3.0, 'error': None, 'unit': ''}",,
CCTS:CQD,"{'value': 0.07, 'error': None, 'unit': '%'}",,"{'value': 1.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 26.0, 'error': None, 'unit': '%'}"
CCTS,"{'value': 0.003, 'error': None, 'unit': '%'}",,,
PI-BDT1:Y6,"{'value': 0.1, 'error': None, 'unit': '%'}","{'value': 0.62, 'error': None, 'unit': 'V'}","{'value': 0.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 23.4, 'error': None, 'unit': '%'}"
PC-BDT1:Y6,"{'value': 5.2, 'error': None, 'unit': '%'}","{'value': 0.83, 'error': None, 'unit': 'V'}","{'value': 12.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 48.9, 'error': None, 'unit': '%'}"
PC-BDT2:Y6,"{'value': 7.9, 'error': None, 'unit': '%'}","{'value': 0.83, 'error': None, 'unit': 'V'}","{'value': 18.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 52.3, 'error': None, 'unit': '%'}"
Cu(II)Pc/C60,"{'value': 3.6, 'error': None, 'unit': '%'}",,,
Cu(II)Pc/C60,"{'value': 4.2, 'error': None, 'unit': '%'}",,,
Pd(II)Pc/C60,"{'value': 2.2, 'error': None, 'unit': '%'}",,,
Cu(II)Pc/C60,"{'value': 1.6, 'error': None, 'unit': '%'}",,,
Pt(II)OEPor/C60,"{'value': 2.1, 'error': None, 'unit': '%'}",,,
Pt(II)TPBP/C60,"{'value': 1.9, 'error': None, 'unit': '%'}",,,
SubPc/C60,"{'value': 3.03, 'error': None, 'unit': '%'}",,,
SubNc/C60,"{'value': 1.5, 'error': None, 'unit': '%'}",,,
TiO2 nanotube arrays,"{'value': 7.6, 'error': None, 'unit': '%'}",,,"{'value': 0.7, 'error': None, 'unit': '%'}"
PMAMI 50,"{'value': 3.15, 'error': None, 'unit': '%'}","{'value': 0.52, 'error': None, 'unit': 'V'}","{'value': 9.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.87, 'error': None, 'unit': '%'}"
N/A,"{'value': 9.4, 'error': None, 'unit': '%'}","{'value': 0.78, 'error': None, 'unit': 'V'}","{'value': 18.12, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.5, 'error': None, 'unit': '%'}"
N/A,"{'value': 13.7, 'error': None, 'unit': '%'}","{'value': 0.9, 'error': None, 'unit': 'V'}","{'value': 23.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 66.0, 'error': None, 'unit': '%'}"
Mixed halide perovskite (MAPbI3-xClx),"{'value': 13.7, 'error': None, 'unit': '%'}",,,
Sb2Se3,"{'value': 5.637, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
PSBT:PC71BM,"{'value': 5.18, 'error': None, 'unit': '%'}","{'value': 0.94, 'error': None, 'unit': 'V'}","{'value': 11.11, 'error': None, 'unit': 'mA/cm2'}","{'value': 49.6, 'error': None, 'unit': '%'}"
PSBO:PC71BM,"{'value': 3.29, 'error': None, 'unit': '%'}","{'value': 0.96, 'error': None, 'unit': 'V'}","{'value': 8.6, 'error': None, 'unit': 'mA/cm2'}","{'value': 40.1, 'error': None, 'unit': '%'}"
PSDTBT:PC71BM,"{'value': 3.52, 'error': None, 'unit': '%'}","{'value': 0.9, 'error': None, 'unit': 'V'}","{'value': 9.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 41.3, 'error': None, 'unit': '%'}"
PTB7:PCBM,"{'value': 9.77, 'error': None, 'unit': '%'}","{'value': 0.73, 'error': None, 'unit': 'V'}","{'value': 18.28, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.36, 'error': None, 'unit': '%'}"
PTB7,"{'value': 9.6, 'error': None, 'unit': '%'}",,"{'value': 18.4, 'error': None, 'unit': 'mA/cm2'}",
C106 ruthenium complex,"{'value': 7.8, 'error': None, 'unit': '%'}",,,
Hierarchical TiO2 spheres consisting of anatase nanorods and nanoparticles,"{'value': 10.34, 'error': None, 'unit': '%'}","{'value': 18.78, 'error': None, 'unit': 'V'}","{'value': 827.0, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.0, 'error': None, 'unit': '%'}"
N/A,"{'value': 16.7, 'error': None, 'unit': '%'}","{'value': 0.62, 'error': None, 'unit': 'V'}","{'value': 38.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 69.6, 'error': None, 'unit': '%'}"
Perovskite,"{'value': 20.0, 'error': None, 'unit': '%'}",,,
"Zn2,3TDHPP","{'value': 0.6, 'error': None, 'unit': '%'}","{'value': 0.449, 'error': None, 'unit': 'V'}","{'value': 2.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 62.0, 'error': None, 'unit': '%'}"
SMPV1:DIB-SQ:PC71BM,"{'value': 7.4, 'error': None, 'unit': '%'}",,,
AnE-PVstat,,,"{'value': 2.0, 'error': None, 'unit': ''}",
BTP-4F,"{'value': 22.16, 'error': None, 'unit': '%'}",,,
SJ-IC,"{'value': 9.27, 'error': None, 'unit': '%'}","{'value': 0.83, 'error': None, 'unit': 'V'}","{'value': 16.99, 'error': None, 'unit': 'mA/cm2'}","{'value': 65.95, 'error': None, 'unit': '%'}"
IDT-IC,"{'value': 6.95, 'error': None, 'unit': '%'}","{'value': 0.88, 'error': None, 'unit': 'V'}","{'value': 13.7, 'error': None, 'unit': 'mA/cm2'}","{'value': 57.3, 'error': None, 'unit': '%'}"
BDTTT-DPP:PC61BM,"{'value': 5.53, 'error': None, 'unit': '%'}",,,
BDTTTVT-DPP:PC61BM,"{'value': 5.48, 'error': None, 'unit': '%'}",,,
BDTTT-DPP:IDIC:PC61BM,"{'value': 6.53, 'error': None, 'unit': '%'}",,,
BDTTTVT-DPP:IDIC:PC61BM,"{'value': 6.55, 'error': None, 'unit': '%'}",,,
N/A,"{'value': 7.79, 'error': None, 'unit': '%'}",,,
ITFBT,"{'value': 4.57, 'error': None, 'unit': '%'}","{'value': 0.98, 'error': None, 'unit': 'V'}","{'value': 10.24, 'error': None, 'unit': 'mA/cm2'}","{'value': 45.6, 'error': None, 'unit': '%'}"
IT2FBT,"{'value': 1.92, 'error': None, 'unit': '%'}","{'value': 1.01, 'error': None, 'unit': 'V'}","{'value': 6.25, 'error': None, 'unit': 'mA/cm2'}","{'value': 30.5, 'error': None, 'unit': '%'}"
IT3T,"{'value': 0.71, 'error': None, 'unit': '%'}","{'value': 0.753, 'error': None, 'unit': 'V'}","{'value': 3.29, 'error': None, 'unit': 'mA/cm2'}","{'value': 28.6, 'error': None, 'unit': '%'}"
P3HT:ICBA,"{'value': 6.36, 'error': None, 'unit': '%'}","{'value': 0.836, 'error': None, 'unit': 'V'}","{'value': 73.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 6.36, 'error': None, 'unit': '%'}"
PTB7-Th:PC71BM,"{'value': 8.98, 'error': None, 'unit': '%'}","{'value': 0.782, 'error': None, 'unit': 'V'}","{'value': 16.39, 'error': None, 'unit': 'mA/cm2'}","{'value': 8.98, 'error': None, 'unit': '%'}"
CdTe/CdS,"{'value': 6.12, 'error': None, 'unit': '%'}","{'value': 1.38, 'error': None, 'unit': 'V'}",,
CsPbI3,,"{'value': 1.14, 'error': None, 'unit': 'V'}","{'value': 23.32, 'error': None, 'unit': 'mA/cm2'}","{'value': 79.1, 'error': None, 'unit': '%'}"
N/A,"{'value': 8.28, 'error': None, 'unit': '%'}","{'value': 0.734, 'error': None, 'unit': 'V'}","{'value': 16.5, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.684, 'error': None, 'unit': '%'}"
Sb2Se3,"{'value': 7.63, 'error': None, 'unit': '%'}","{'value': 0.386, 'error': None, 'unit': 'V'}","{'value': 35.2, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.1, 'error': None, 'unit': '%'}"
Pd-MoS2,"{'value': 4.6, 'error': None, 'unit': '%'}","{'value': 0.39, 'error': None, 'unit': 'V'}","{'value': 9.3, 'error': None, 'unit': 'mA/cm2'}",
Pd-MoS2,,"{'value': 0.39, 'error': None, 'unit': 'V'}",,
TP2A,"{'value': 4.26, 'error': None, 'unit': '%'}","{'value': 0.526, 'error': None, 'unit': 'V'}","{'value': 11.4, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.71, 'error': None, 'unit': '%'}"
T′2P2A,"{'value': 6.06, 'error': None, 'unit': '%'}","{'value': 0.536, 'error': None, 'unit': 'V'}","{'value': 16.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.702, 'error': None, 'unit': '%'}"
TP2A + T′2P2A,"{'value': 6.76, 'error': None, 'unit': '%'}","{'value': 0.556, 'error': None, 'unit': 'V'}","{'value': 17.8, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.683, 'error': None, 'unit': '%'}"
T′′2P2A,"{'value': 3.44, 'error': None, 'unit': '%'}",,,
"Cu2ZnSn(Sx,Se1−x)4",,,"{'value': 2.0, 'error': None, 'unit': ''}",
N/A,"{'value': 19.83, 'error': None, 'unit': '%'}",,,
BD:PCBM,,"{'value': 0.75, 'error': None, 'unit': 'V'}","{'value': 2.5, 'error': None, 'unit': 'mA/cm2'}",
BD:PCBM,,"{'value': 0.7, 'error': None, 'unit': 'V'}","{'value': 0.5, 'error': None, 'unit': 'mA/cm2'}",
BD6:PCBM,,"{'value': 0.57, 'error': None, 'unit': 'V'}","{'value': 1.8, 'error': None, 'unit': 'mA/cm2'}",
N-doped TiO2-CuxO core-shell hybrids,"{'value': 4.57, 'error': None, 'unit': '%'}","{'value': 0.66, 'error': None, 'unit': 'V'}","{'value': 13.24, 'error': None, 'unit': 'mA/cm2'}","{'value': 52.26, 'error': None, 'unit': '%'}"
PCPDTTTz:PCBM,,"{'value': 0.6, 'error': None, 'unit': 'V'}","{'value': 7.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 57.99999999999999, 'error': None, 'unit': '%'}"
CoS2–CoSe2@NC nanocubes,"{'value': 8.45, 'error': None, 'unit': '%'}",,,
Cu2O,"{'value': 2.65, 'error': None, 'unit': '%'}","{'value': 0.553, 'error': None, 'unit': 'V'}",,
TiO2,"{'value': 2.78, 'error': None, 'unit': '%'}","{'value': 0.671, 'error': None, 'unit': 'V'}","{'value': 13.44, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.74, 'error': None, 'unit': '%'}"
Z907,,,"{'value': 2.0, 'error': None, 'unit': ''}",
Ru505,,,"{'value': 2.0, 'error': None, 'unit': ''}",
Perovskite/Silicon,"{'value': 29.15, 'error': None, 'unit': '%'}","{'value': 1.92, 'error': None, 'unit': 'V'}",,
CIGS,"{'value': 15.09, 'error': None, 'unit': '%'}","{'value': 1.45, 'error': None, 'unit': 'V'}","{'value': 14.05, 'error': None, 'unit': 'mA/cm2'}","{'value': 74.2, 'error': None, 'unit': '%'}"
CIGS,"{'value': 12.21, 'error': None, 'unit': '%'}","{'value': 1.22, 'error': None, 'unit': 'V'}","{'value': 13.9, 'error': None, 'unit': 'mA/cm2'}","{'value': 72.3, 'error': None, 'unit': '%'}"
CIGS-I,"{'value': 10.46, 'error': None, 'unit': '%'}","{'value': 1.14, 'error': None, 'unit': 'V'}","{'value': 13.58, 'error': None, 'unit': 'mA/cm2'}","{'value': 67.3, 'error': None, 'unit': '%'}"
CIGS-II,"{'value': 12.45, 'error': None, 'unit': '%'}","{'value': 1.24, 'error': None, 'unit': 'V'}","{'value': 14.21, 'error': None, 'unit': 'mA/cm2'}","{'value': 73.4, 'error': None, 'unit': '%'}"
CIGS,"{'value': 12.35, 'error': None, 'unit': '%'}","{'value': 1.43, 'error': None, 'unit': 'V'}","{'value': 14.1, 'error': None, 'unit': 'mA/cm2'}","{'value': 61.5, 'error': None, 'unit': '%'}"
GGC,"{'value': 7.63, 'error': None, 'unit': '%'}","{'value': 1.85, 'error': None, 'unit': 'V'}","{'value': 4.99, 'error': None, 'unit': 'mA/cm2'}","{'value': 82.6, 'error': None, 'unit': '%'}"
GGC,"{'value': 5.66, 'error': None, 'unit': '%'}","{'value': 1.8, 'error': None, 'unit': 'V'}","{'value': 3.77, 'error': None, 'unit': 'mA/cm2'}","{'value': 83.3, 'error': None, 'unit': '%'}"
GGC,"{'value': 4.78, 'error': None, 'unit': '%'}","{'value': 1.86, 'error': None, 'unit': 'V'}","{'value': 3.08, 'error': None, 'unit': 'mA/cm2'}","{'value': 83.6, 'error': None, 'unit': '%'}"
a-Si:H,"{'value': 8.31, 'error': None, 'unit': '%'}","{'value': 1.45, 'error': None, 'unit': 'V'}","{'value': 10.61, 'error': None, 'unit': 'mA/cm2'}","{'value': 54.6, 'error': None, 'unit': '%'}"
NiO,"{'value': 0.0033, 'error': None, 'unit': '%'}","{'value': 0.0985, 'error': None, 'unit': 'V'}","{'value': 0.079, 'error': None, 'unit': 'mA/cm2'}",
NiO,"{'value': 0.0076, 'error': None, 'unit': '%'}","{'value': 0.0828, 'error': None, 'unit': 'V'}","{'value': 0.232, 'error': None, 'unit': 'mA/cm2'}",
NiO,"{'value': 0.39, 'error': None, 'unit': '%'}","{'value': 0.732, 'error': None, 'unit': 'V'}","{'value': 2.3, 'error': None, 'unit': 'mA/cm2'}",
NiO,"{'value': 0.66, 'error': None, 'unit': '%'}","{'value': 0.92, 'error': None, 'unit': 'V'}","{'value': 3.62, 'error': None, 'unit': 'mA/cm2'}",
FeS,"{'value': 1.32, 'error': None, 'unit': '%'}","{'value': 0.6, 'error': None, 'unit': 'V'}","{'value': 2.53, 'error': None, 'unit': 'mA/cm2'}",
NiO,"{'value': 1.91, 'error': None, 'unit': '%'}","{'value': 1.079, 'error': None, 'unit': 'V'}","{'value': 2.4, 'error': None, 'unit': 'mA/cm2'}",
TiO2 NPs sensitized with Ru series dyes,,,"{'value': 2.0, 'error': None, 'unit': ''}",
P3HT:PC61BM,"{'value': 4.03, 'error': None, 'unit': '%'}",,"{'value': 2.0, 'error': None, 'unit': ''}",
CA2,"{'value': 6.57, 'error': None, 'unit': '%'}","{'value': 0.59, 'error': None, 'unit': 'V'}","{'value': 17.27, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.65, 'error': None, 'unit': '%'}"
CA3,"{'value': 5.84, 'error': None, 'unit': '%'}","{'value': 0.57, 'error': None, 'unit': 'V'}","{'value': 15.45, 'error': None, 'unit': 'mA/cm2'}","{'value': 0.66, 'error': None, 'unit': '%'}"
DTI,"{'value': 1.6, 'error': None, 'unit': '%'}","{'value': 0.58, 'error': None, 'unit': 'V'}","{'value': 4.87, 'error': None, 'unit': 'mA/cm2'}","{'value': 56.99999999999999, 'error': None, 'unit': '%'}"
Nb2O5,"{'value': 6.03, 'error': None, 'unit': '%'}","{'value': 0.749, 'error': None, 'unit': 'V'}","{'value': 12.2, 'error': None, 'unit': 'mA/cm2'}",
Nb2O5,"{'value': 4.68, 'error': None, 'unit': '%'}","{'value': 0.662, 'error': None, 'unit': 'V'}","{'value': 11.57, 'error': None, 'unit': 'mA/cm2'}",
Nb2O5,"{'value': 4.48, 'error': None, 'unit': '%'}","{'value': 0.639, 'error': None, 'unit': 'V'}","{'value': 17.6, 'error': None, 'unit': 'mA/cm2'}",
Nb2O5,"{'value': 4.1, 'error': None, 'unit': '%'}","{'value': 0.701, 'error': None, 'unit': 'V'}","{'value': 10.0, 'error': None, 'unit': 'mA/cm2'}",
Nb2O5,"{'value': 3.45, 'error': None, 'unit': '%'}","{'value': 0.635, 'error': None, 'unit': 'V'}","{'value': 8.72, 'error': None, 'unit': 'mA/cm2'}",
Nb2O5,"{'value': 3.35, 'error': None, 'unit': '%'}","{'value': 0.59, 'error': None, 'unit': 'V'}","{'value': 10.66, 'error': None, 'unit': 'mA/cm2'}",
Nb2O5,"{'value': 2.41, 'error': None, 'unit': '%'}","{'value': 0.71, 'error': None, 'unit': 'V'}","{'value': 6.65, 'error': None, 'unit': 'mA/cm2'}",
Nb2O5,"{'value': 2.2, 'error': None, 'unit': '%'}","{'value': 0.67, 'error': None, 'unit': 'V'}","{'value': 6.91, 'error': None, 'unit': 'mA/cm2'}",
Nb2O5,"{'value': 2.2, 'error': None, 'unit': '%'}","{'value': 0.61, 'error': None, 'unit': 'V'}","{'value': 7.0, 'error': None, 'unit': 'mA/cm2'}",
Nb2O5,"{'value': 2.0, 'error': None, 'unit': '%'}","{'value': 0.63, 'error': None, 'unit': 'V'}","{'value': 4.9, 'error': None, 'unit': 'mA/cm2'}",
Nb2O5,"{'value': 1.42, 'error': None, 'unit': '%'}","{'value': 0.58, 'error': None, 'unit': 'V'}","{'value': 3.93, 'error': None, 'unit': 'mA/cm2'}",
Nb2O5,"{'value': 0.98, 'error': None, 'unit': '%'}","{'value': 0.455, 'error': None, 'unit': 'V'}","{'value': 1.6, 'error': None, 'unit': 'mA/cm2'}",
Nb2O5,,"{'value': 0.4, 'error': None, 'unit': 'V'}","{'value': 0.53, 'error': None, 'unit': 'mA/cm2'}",
MAPbI3 perovskite,"{'value': 20.18, 'error': None, 'unit': '%'}",,"{'value': 23.08, 'error': None, 'unit': 'mA/cm2'}",
P3HT:PC60BM,"{'value': 2.8, 'error': None, 'unit': '%'}","{'value': 0.58, 'error': None, 'unit': 'V'}","{'value': 7.9, 'error': None, 'unit': 'mA/cm2'}",
CuSCN,"{'value': 12.4, 'error': None, 'unit': '%'}","{'value': 1.05, 'error': None, 'unit': 'V'}",,
NiO,"{'value': 9.11, 'error': None, 'unit': '%'}",,,
NiO,"{'value': 9.51, 'error': None, 'unit': '%'}",,,
NiO,"{'value': 7.3, 'error': None, 'unit': '%'}",,,
Graphene oxide,"{'value': 12.0, 'error': None, 'unit': '%'}",,,
MAPbI3,"{'value': 12.4, 'error': None, 'unit': '%'}","{'value': 0.997, 'error': None, 'unit': 'V'}",,
MAPbI3−xClx,"{'value': 10.9, 'error': None, 'unit': '%'}","{'value': 0.98, 'error': None, 'unit': 'V'}",,
MAPbI3−xClx,"{'value': 11.4, 'error': None, 'unit': '%'}","{'value': 0.89, 'error': None, 'unit': 'V'}","{'value': 20.3, 'error': None, 'unit': 'mA/cm2'}",
MAPbI3−xClx,"{'value': 15.4, 'error': None, 'unit': '%'}","{'value': 1.07, 'error': None, 'unit': 'V'}","{'value': 21.5, 'error': None, 'unit': 'mA/cm2'}",
MAPbI3−xClx,"{'value': 15.7, 'error': None, 'unit': '%'}",,,
MAPbI3−xClx,"{'value': 19.3, 'error': None, 'unit': '%'}",,,
MAPbI3,"{'value': 8.0, 'error': None, 'unit': '%'}","{'value': 0.712, 'error': None, 'unit': 'V'}","{'value': 18.8, 'error': None, 'unit': 'mA/cm2'}",
MAPbI3,"{'value': 12.8, 'error': None, 'unit': '%'}","{'value': 0.858, 'error': None, 'unit': 'V'}",,
MAPbI3,"{'value': 14.1, 'error': None, 'unit': '%'}",,,
