,Absorber Layer,PCE_value,PCE_error,Voc_value,Voc_error,Jsc_value,Jsc_error,FF_value,FF_error
326,t-OCP-m,3.88,,0.8,,9.39,,51.54,"(51.54, None)"
327,t-MCP,2.45,,0.85,,5.74,,50.42,"(50.42, None)"
328,"c,t-MCP-m",3.85,,0.81,,8.18,,58.22,"(58.22, None)"
329,t-PCP,0.56,,0.66,,1.57,,54.32,"(54.32, None)"
330,P25,6.79,,0.749,,14.63,,62.0,"(62.0, None)"
331,PTZ1,7.57,,0.76,,15.32,,65.0,"(65.0, None)"
332,PTZ2,8.78,,0.766,,15.91,,72.0,"(72.0, None)"
333,PTZ3,7.39,,0.775,,13.24,,72.0,"(72.0, None)"
334,Poly(3-hexylthiophene) (P3HT),0.65,,0.85,,2.19,,35.0,"(35.0, None)"
335,MAPbI3,13.9,,1.07,,19.9,,65.0,"(65.0, None)"
336,MAPbI3,15.7,,1.07,,22.5,,65.0,"(65.0, None)"
337,MAPbI3,8.7,,0.81,,20.0,,54.0,"(54.0, None)"
338,MAPbI3,4.3,,0.76,,13.4,,42.0,"(42.0, None)"
339,MAPbI3,10.2,,1.03,,13.4,,74.0,"(74.0, None)"
340,MAPbI3,15.7,,1.03,,20.4,,75.0,"(75.0, None)"
341,mp-Al2O3-MAPbI3,13.1,,0.98,,20.4,,66.0,"(66.0, None)"
342,CH3NH3PbI3,5.5,,1.08,,11.3,,45.0,"(45.0, None)"
343,mp-ZnO-MAPbI3,2.2,,0.99,,5.6,,40.0,"(40.0, None)"
344,MAPbI3,10.3,,1.03,,23.1,,50.0,"(50.0, None)"
345,MAPbI3,10.8,,1.01,,16.0,,67.0,"(67.0, None)"
346,MAPbI3,12.0,,1.05,,15.1,,76.0,"(76.0, None)"
347,MAPbI3,11.0,,1.02,,14.7,,73.0,"(73.0, None)"
348,MAPbI3,12.2,,1.0,,18.2,,67.0,"(67.0, None)"
349,mp-ZnO-MAPbI3,8.9,,1.02,,17.0,,51.0,"(51.0, None)"
350,mp-ZnO-MAPbI3,2.6,,0.8,,7.5,,43.0,"(43.0, None)"
351,N719/TiO2,5.43,,0.71,,12.68,,60.0,"(60.0, None)"
352,DM/TiO2,0.69,,0.51,,3.65,,37.0,"(37.0, None)"
353,DE/TiO2,0.66,,0.55,,2.46,,49.0,"(49.0, None)"
354,DP/TiO2,0.49,,0.45,,2.44,,45.0,"(45.0, None)"
355,DM/N719/TiO2,7.0,,0.72,,16.57,,59.0,"(59.0, None)"
356,DE/N719/TiO2,6.99,,0.72,,15.83,,61.0,"(61.0, None)"
357,DP/N719/TiO2,6.91,,0.71,,15.64,,62.0,"(62.0, None)"
358,IID-IC-O,4.2,,0.78,,10.56,,51.0,"(51.0, None)"
359,PBDTT-TTSO,4.7,,0.68,,12.7,,54.6,"(54.6, None)"
360,PBDTT-TTSE,5.8,,0.7,,14.6,,56.7,"(56.7, None)"
361,DT-capped CdSe QDs,0.65,,0.47,,5.03,,27.46,"(27.46, None)"
362,P3HT/ZnO,0.18,0.01,0.38,0.01,1.42,0.03,33.0,"(33.0, 0.01)"
363,P3HT/ZnO,0.24,0.02,0.57,0.02,1.3,0.04,32.0,"(32.0, 0.01)"
364,P3HT-b-PEO/ZnO,0.21,0.02,0.53,0.01,1.22,0.03,32.0,"(32.0, 0.02)"
365,P3HT-b-PEO/ZnO,0.49,0.01,0.58,0.01,2.08,0.05,41.0,"(41.0, 0.01)"
366,PTB7-Th:THBT-ht:PC71BM,10.02,,0.79,,18.16,,70.0,"(70.0, None)"
367,PIF-DBT35,1.24,,0.71,,3.91,,45.0,"(45.0, None)"
368,PIF-DBT50,1.48,,0.69,,5.26,,41.0,"(41.0, None)"
369,PIF-DTP35,0.23,,0.5,,1.53,,30.0,"(30.0, None)"
370,PIF-DTP50,0.39,,0.61,,1.79,,36.0,"(36.0, None)"
371,MA0.8HA0.2SnI3,2.1,,0.38,,14.1,,49.0,"(49.0, None)"
372,PDTTDPP (1:1),0.29,,0.65,,1.47,,31.0,"(31.0, None)"
373,PDTTDPP (1:2),0.13,,0.67,,0.77,,31.0,"(31.0, None)"
374,PTDTTTDPP (1:1),1.39,,0.6,,5.15,,45.0,"(45.0, None)"
375,PTDTTTDPP (1:2),0.36,,0.57,,2.67,,24.0,"(24.0, None)"
376,PTDTTTDPP (1:4),0.85,,0.54,,2.76,,56.99999999999999,"(56.99999999999999, None)"
377,CH3NH3PbI3(Cl),14.03,,0.908,,22.6,,68.5,"(68.5, None)"
378,ZnO/ALD HfO2,6.3,,0.81,,10.8,,72.0,"(72.0, None)"
379,PSP-CF3,7.0,,0.68,,15.16,,68.0,"(68.0, None)"
380,poly(3-hexylthiophene) (P3HT),4.07,,0.5,,16.09,,51.0,"(51.0, None)"
381,P3HT:PCBM,2.87,,0.61,,8.99,,52.0,"(52.0, None)"
382,P3HT:PCBM,2.51,,0.63,,7.84,,51.0,"(51.0, None)"
383,BTIC-CF3-m,16.36,,0.85,,25.98,,74.06,"(74.06, None)"
384,BTIC-CF3-m,15.87,,0.84,,25.82,,73.19,"(73.19, None)"
385,BTIC-CF3-m,15.4,,0.79,,26.51,,73.51,"(73.51, None)"
386,CH3NH3PbI3,14.1,,0.866,,20.7,,78.3,"(78.3, None)"
387,SF-PDI2,8.2,,0.9,,15.0,,60.0,"(60.0, None)"
388,FTAZ,7.5,,0.8,,14.0,,50.0,"(50.0, None)"
389,CeOx,9.0,,1.0,,16.0,,70.0,"(70.0, None)"
390,MeBQPH,1.04,,0.87,,2.7,,44.0,"(44.0, None)"
391,MeBQPME,0.49,,0.92,,1.5,,35.0,"(35.0, None)"
392,MeBQPNMe,0.5,,0.97,,1.7,,30.0,"(30.0, None)"
393,CdS0.57Se0.43/CdSe QDs,4.46,,0.5668,,14.22,,55.3,"(55.3, None)"
394,C-GB2,5.61,,0.64,,13.23,,66.0,"(66.0, None)"
395,GB-G4,4.94,,0.66,,13.83,,54.0,"(54.0, None)"
396,C-GB-G2,6.29,,0.67,,13.59,,69.0,"(69.0, None)"
397,P3HT:PC61BM,3.5,,0.57,,11.4,,54.0,"(54.0, None)"
398,P3HT:PC61BM,3.6,,0.64,,8.7,,65.0,"(65.0, None)"
399,MAPbI3−xClx,20.52,,1.144,,21.67,,82.78,"(82.78, None)"
400,F5T8P-C2,1.86,,1.0,,4.3,,43.0,"(43.0, None)"
401,F5T8P-C4,2.33,,1.04,,4.82,,47.0,"(47.0, None)"
402,F5T8P-C6,2.04,,0.96,,4.6,,46.0,"(46.0, None)"
403,PBDTTT-EFT,9.0,,0.79,,18.3,,62.0,"(62.0, None)"
404,"Cu(In,Ga)Se2",11.6,,0.56,,37.2,,56.2,"(56.2, None)"
405,P17,6.5,,0.8,,14.48,,56.0,"(56.0, None)"
406,P18,5.6,,0.88,,12.68,,50.0,"(50.0, None)"
407,P19,6.5,,0.85,,13.95,,55.0,"(55.0, None)"
408,P20,0.8,,0.36,,4.2,,54.0,"(54.0, None)"
409,P21,7.0,,0.95,,12.21,,61.0,"(61.0, None)"
410,P22,6.5,,0.75,,14.59,,59.0,"(59.0, None)"
411,P23,5.2,,0.91,,9.95,,57.0,"(57.0, None)"
412,P24,6.8,,0.89,,13.7,,56.0,"(56.0, None)"
413,P4,3.41,,0.82,,10.03,,42.0,"(42.0, None)"
414,P5,4.65,,0.83,,10.57,,53.0,"(53.0, None)"
415,P6,5.05,,0.9,,10.21,,55.0,"(55.0, None)"
416,P7,5.69,,0.87,,10.9,,60.0,"(60.0, None)"
417,P8,6.24,,0.87,,11.2,,64.0,"(64.0, None)"
418,P9,6.06,,0.83,,11.6,,63.0,"(63.0, None)"
419,P10,3.21,,0.74,,10.1,,43.0,"(43.0, None)"
420,P11,7.51,,0.87,,12.34,,70.0,"(70.0, None)"
421,P12,4.6,,0.9,,9.2,,56.0,"(56.0, None)"
422,P14,6.17,,0.82,,13.27,,57.0,"(57.0, None)"
423,P16,1.76,,0.88,,3.66,,54.0,"(54.0, None)"
424,sg-ZnO,15.72,,0.832,,25.45,,74.2,"(74.2, None)"
425,ic-ZnO,16.62,,0.832,,26.54,,75.2,"(75.2, None)"
426,as-ZnO,14.98,,0.823,,24.71,,73.64,"(73.64, None)"
427,FAxMA1−xPbIyCl1−y,19.32,,1.1,,22.52,,78.0,"(78.0, None)"
428,9.4 nm,11.45,,0.618,,28.33,,65.3,"(65.3, None)"
429,7.5 nm,11.45,,0.619,,28.33,,65.3,"(65.3, None)"
430,4.9 nm,10.45,,0.594,,27.78,,63.2,"(63.2, None)"
431,PBDTT-PPzDPP/PC71BM,5.91,,0.73,,11.75,,68.8,"(68.8, None)"
432,P3HT:DTFBR,3.68,,0.71,,8.15,,62.0,"(62.0, None)"
433,DTFBR:PC71BM,2.5,,1.08,,6.94,,32.0,"(32.0, None)"
434,PIDTT-TT,7.1,,0.96,,11.2,,66.0,"(66.0, None)"
435,TiO2–Sn/F,8.89,,0.725,,17.03,,72.0,"(72.0, None)"
436,PQT8,0.45,,0.66,,1.98,,34.0,"(34.0, None)"
437,PQTF8,1.25,,0.56,,5.93,,38.0,"(38.0, None)"
438,PTB7-TH:IEIC,6.31,,0.97,,13.55,,48.0,"(48.0, None)"
439,SiNCs (3 min etched),4.42,,0.41,,22.48,,47.2,"(47.2, None)"
440,SiNCs (1 min etched),2.81,,0.43,,18.33,,35.6,"(35.6, None)"
441,SiNCs (5 min etched),3.55,,0.41,,20.85,,41.2,"(41.2, None)"
442,SiNCs (7 min etched),2.89,,0.41,,18.67,,37.8,"(37.8, None)"
443,SiNCs (9 min etched),2.24,,0.38,,15.85,,37.3,"(37.3, None)"
444,CZTS,12.6,,0.6,,30.0,,70.0,"(70.0, None)"
445,Ko-2,3.35,,0.68,,9.69,,49.0,"(49.0, None)"
446,Ko-1,1.9,,0.67,,5.51,,54.0,"(54.0, None)"
447,Control PSC,0.008,,0.414,,0.041,,48.6,"(48.6, None)"
448,Double-UC PSC,0.21,,0.518,,0.529,,76.8,"(76.8, None)"
449,B-UC PSC,0.03,,0.596,,0.102,,49.8,"(49.8, None)"
450,T-UC PSC,0.066,,0.521,,0.174,,72.4,"(72.4, None)"
451,"PBDTTBI:PC71BM (1:1, w/w)",0.14,,0.5,,1.1,,27.6,"(27.6, None)"
452,"PBDTTBI:PC71BM (1:1.5, w/w)",0.06,,0.48,,0.43,,26.0,"(26.0, None)"
453,"PBDTTBI:PC71BM (1:2, w/w)",0.01,,0.47,,0.1,,27.0,"(27.0, None)"
454,"PBDTBBT:PC71BM (1:1, w/w)",0.67,,0.54,,4.9,,25.0,"(25.0, None)"
455,"PBDTBBT:PC71BM (1:1.5, w/w)",0.64,,0.6,,3.6,,30.0,"(30.0, None)"
456,"PBDTBBT:PC71BM (1:2, w/w)",0.43,,0.6,,2.44,,28.0,"(28.0, None)"
457,D1-CF,2.21,,1.1,,4.25,,45.0,"(45.0, None)"
458,PM6:BTP-eC9,17.4,,0.84,,27.0,,76.1,"(76.1, None)"
459,PM6:BTP-eC9:MOIT-M,18.5,,0.87,,27.4,,77.3,"(77.3, None)"
460,PM6:MOIT-M,10.3,,1.01,,15.8,,64.3,"(64.3, None)"
461,PDCPTCz,0.73,,0.74,,1.92,,52.0,"(52.0, None)"
462,PDCPTCz-BT,1.57,,0.81,,4.59,,42.0,"(42.0, None)"
463,P-FT:m-ITIC,8.86,,0.85,,16.7,,56.99999999999999,"(56.99999999999999, None)"
464,P-FT:Y6,13.34,,0.92,,20.9,,68.0,"(68.0, None)"
465,P-FP:m-ITIC,10.45,,0.88,,18.5,,61.0,"(61.0, None)"
466,P-FP:Y6,12.72,,0.91,,20.1,,64.0,"(64.0, None)"
467,DCM,1.79,,0.52,,6.48,,53.0,"(53.0, None)"
468,CF,1.72,,0.51,,6.44,,53.0,"(53.0, None)"
469,CB,1.7,,0.52,,6.28,,52.0,"(52.0, None)"
470,ODCB,0.47,,0.25,,3.79,,50.0,"(50.0, None)"
471,CsPbBr3,11.21,,1.574,,8.52,,83.67,"(83.67, None)"
472,MAPbI3,11.4,,0.928,,17.5,,70.0,"(70.0, None)"
473,FAPbI3,11.9,,0.901,,18.4,,72.0,"(72.0, None)"
474,(FA)0.6(MA)0.4PbI3,12.9,,0.921,,20.9,,67.0,"(67.0, None)"
475,PM6:BP-4F blend films,13.9,,0.9,,21.6,,72.0,"(72.0, None)"
476,Perovskite,15.07,,1.03,,20.9,,70.0,"(70.0, None)"
477,Mixed ion perovskites,20.8,,1.16,,24.6,,75.0,"(75.0, None)"
478,AZO (400),2.2,0.1,0.57,0.01,6.0,0.1,61.0,"(61.0, 0.01)"
479,AZO (500),2.3,0.1,0.58,0.0,6.2,0.1,62.0,"(62.0, 0.01)"
480,AZO (600),2.4,0.1,0.59,0.01,6.3,0.1,63.0,"(63.0, 0.01)"
481,Perovskite,15.1,,1.09,,19.1,,72.8,"(72.8, None)"
482,MAPbI3,15.1,,1.09,,19.1,,72.8,"(72.8, None)"
483,Material C,16.4,,0.8,,20.0,,85.0,"(85.0, None)"
484,Co0.85Se,6.55,,0.65,,14.73,,68.12,"(68.12, None)"
485,Ni0.85Se,7.07,,0.68,,15.28,,68.05,"(68.05, None)"
486,Z@Cdots,3.9,,0.82,,14.8,,32.0,"(32.0, None)"
487,Z@G,3.04,,0.76,,12.5,,32.0,"(32.0, None)"
488,Nanocrystalline TiO2/ITO (nc-TiO2/ITO),3.12,,0.67,,9.566,,49.0,"(49.0, None)"
489,ITO/antireflective TiO2 compact layer (ITO/arc-TiO2) (rf sputter),5.0,,0.71,,11.475,,61.0,"(61.0, None)"
490,ITO/carbon material – TiO2 (ITO/c-TiO2) (sol–gel),4.68,,0.72,,10.63,,61.0,"(61.0, None)"
491,PBSeDTEG8:PCBM,7.0,,1.51,,9.91,,61.0,"(61.0, None)"
492,Perovskite,9.13,,1.51,,9.91,,61.0,"(61.0, None)"
493,Perovskite,10.23,,1.52,,10.05,,67.0,"(67.0, None)"
494,CNA-3.75 wt% Pt,9.04,,0.779,,16.57,,70.0,"(70.0, None)"
495,Perovskite,21.2,,1.19,,22.7,,78.8,"(78.8, None)"
496,PBDT2FBT-Ph,6.23,,0.83,,11.33,,66.3,"(66.3, None)"
497,ETDPP-2P:IT-M,5.69,,0.84,,11.05,,61.3,"(61.3, None)"
498,Pt,6.6,,0.773,,13.4,,54.0,"(54.0, None)"
499,CoS2,6.0,,0.79,,11.9,,54.0,"(54.0, None)"
500,MoS2 coated CoS2,7.6,,0.763,,20.1,,42.0,"(42.0, None)"
501,"ITIC and its derivatives (ITBTD, ITBTDF, ITIC-ICS, ITBTD-IC)",10.11,,1.11,,15.93,,69.0,"(69.0, None)"
502,4CdS/12 h ZnO,0.59,,0.49,,2.29,,52.86,"(52.86, None)"
503,8CdS/12 h ZnO,0.87,,0.57,,4.01,,37.98,"(37.98, None)"
504,12CdS/12 h ZnO,0.77,,0.53,,3.63,,39.85,"(39.85, None)"
505,3CdSe–8CdS/12 h ZnO,1.39,,0.62,,4.32,,52.98,"(52.98, None)"
506,MASnI3,17.77,,0.919,,30.79,,62.78,"(62.78, None)"
507,Cu2S–CuInS2–ZnSe,2.52,,0.6049,,10.96,,40.6,"(40.6, None)"
508,PTPD-DT,2.32,,0.94,,6.15,,47.4,"(47.4, None)"
509,PTPD-DFDT,2.8,,0.98,,10.25,,54.0,"(54.0, None)"
510,CPME:Tol,7.0,,0.96,,11.96,,60.97,"(60.97, None)"
511,3a,5.8,,0.75,,16.36,,47.45,"(47.45, None)"
512,3a,6.0,,0.72,,14.47,,58.13,"(58.13, None)"
513,P3HT-PCBM-5CT,3.5,,0.621,,9.87,,56.6,"(56.6, None)"
514,As-H:SiNCs/PTB7,2.44,,0.67,,9.39,,38.99,"(38.99, None)"
515,H:SiNCs (200 °C)/PTB7,1.96,,0.67,,8.24,,35.37,"(35.37, None)"
516,H:SiNCs (400 °C)/PTB7,0.03,,0.51,,0.24,,28.97,"(28.97, None)"
517,TiO2-NCs/PTB7,0.04,,0.19,,0.57,,33.94,"(33.94, None)"
518,As-H:SiNCs/PTB7-Th,3.01,,0.66,,9.7,,46.71,"(46.71, None)"
519,TiO2 nanoparticles,9.0,,0.736,,16.74,,73.1,"(73.1, None)"
520,PEDOT:PSS/PTMA-BP,15.04,,0.99,,20.05,,77.0,"(77.0, None)"
521,PEDOT:PSS,13.13,,0.91,,18.97,,76.0,"(76.0, None)"
522,PTB7-Th:FP4TT2T,4.62,,0.92,,11.9,,42.1,"(42.1, None)"
523,PTB7-Th:FP43T,6.05,,0.86,,14.7,,48.1,"(48.1, None)"
524,Bi2S3,4.78,,0.69,,15.34,,43.8,"(43.8, None)"
525,Bi2S3 + 3 wt% rGO,5.71,,0.74,,14.64,,52.7,"(52.7, None)"
526,Bi2S3 + 6 wt% rGO,6.27,,0.74,,15.01,,56.49999999999999,"(56.49999999999999, None)"
527,Bi2S3 + 9 wt% rGO,6.91,,0.74,,15.33,,60.9,"(60.9, None)"
528,Bi2S3 + 12 wt% rGO,6.27,,0.65,,16.02,,60.8,"(60.8, None)"
529,Bi2S3 + 15 wt% rGO,5.79,,0.65,,14.76,,60.8,"(60.8, None)"
530,PANI-PTCDA composite,2.88,,0.62,,9.65,,44.0,"(44.0, None)"
531,Graphene/n-Si,6.75,,0.47,,19.01,,74.07,"(74.07, None)"
532,Graphene-flat Si,9.7,,0.5,,28.99,,66.9,"(66.9, None)"
533,T-NbO2,7.88,,0.81,,13.9,,70.0,"(70.0, None)"
534,Pt,7.65,,0.79,,14.06,,69.0,"(69.0, None)"
535,H-Nb2O5,5.68,,0.79,,11.6,,62.0,"(62.0, None)"
536,M-Nb2O5,5.82,,0.78,,12.12,,61.0,"(61.0, None)"
537,P2,2.22,,0.8,,4.84,,50.0,"(50.0, None)"
538,SPS-01 + JD1,8.3,,0.72,,15.38,,76.0,"(76.0, None)"
539,TiO2,11.0,,0.7,,20.0,,70.0,"(70.0, None)"
540,IDT-DBA,4.2,,0.6,,11.69,,60.0,"(60.0, None)"
541,Indacenodithiophene-based,4.2,,0.6,,11.69,,60.0,"(60.0, None)"
542,PM6:IT-4F,13.8,,0.92,,18.1,,72.0,"(72.0, None)"
543,PM7:IT-4F,14.0,,0.93,,18.2,,73.0,"(73.0, None)"
544,PM6:Y6,16.7,,1.02,,19.5,,85.0,"(85.0, None)"
545,PM7:Y6,16.2,,1.01,,19.3,,84.0,"(84.0, None)"
546,NS-CD/TiO2,1.19,,0.93,,2.0,,64.0,"(64.0, None)"
547,PDCPTCz/PC71BM,0.73,,0.74,,1.92,,52.0,"(52.0, None)"
548,PDCPTCz-BT/PC71BM,1.57,,0.81,,4.59,,42.0,"(42.0, None)"
549,A,10.8,,0.9,,15.18,,69.0,"(69.0, None)"
550,B,11.0,,0.94,,17.22,,68.0,"(68.0, None)"
551,C,10.6,,0.95,,16.6,,67.0,"(67.0, None)"
552,D,9.1,,0.9,,14.9,,68.0,"(68.0, None)"
553,E,7.0,,0.92,,12.81,,59.0,"(59.0, None)"
554,PCDTBT:PC71BM + bCar,4.1,,0.88,,9.3,,50.6,"(50.6, None)"
555,PCDTBT:PC71BM + bCar,4.5,,0.9,,9.7,,53.7,"(53.7, None)"
556,CH3NH3PbI3−xClx,11.9,,0.88,,19.18,,70.51,"(70.51, None)"
557,CH3NH3PbI3−xClx,7.97,,0.88,,12.85,,70.37,"(70.37, None)"
558,N(Ph-1T-DCN-Me)3,2.3,,1.08,,5.97,,35.6,"(35.6, None)"
559,N(Ph-2T-DCN)3,2.31,,0.92,,6.54,,38.4,"(38.4, None)"
560,N(Ph-2T-DCN-Me)3,4.72,,0.98,,8.87,,54.3,"(54.3, None)"
561,N(Ph-2T-DCN-Et)3,3.47,,0.96,,7.86,,46.0,"(46.0, None)"
562,N(Ph-2T-DCN-Hex)3,3.41,,0.98,,8.07,,43.1,"(43.1, None)"
563,N(Ph-2T-DCN-Dodec)3,2.87,,1.0,,7.0,,41.0,"(41.0, None)"
564,N(Ph-3T-DCN-Hex)3,3.96,,0.93,,8.51,,50.0,"(50.0, None)"
565,C60,0.32,,0.67,,1.7,,30.0,"(30.0, None)"
566,C60,0.14,,0.32,,1.5,,30.0,"(30.0, None)"
567,PC61BM,0.41,,0.6,,2.43,,28.0,"(28.0, None)"
568,PC61BM,0.25,,0.6,,1.4,,29.0,"(29.0, None)"
569,C60,1.02,,0.96,,3.65,,29.0,"(29.0, None)"
570,C60,1.85,,1.15,,4.59,,28.0,"(28.0, None)"
571,PC71BM,1.4,,0.84,,5.21,,30.8,"(30.8, None)"
572,PC71BM,3.0,,0.88,,7.76,,43.9,"(43.9, None)"
573,PC61BM,1.63,,0.9,,4.66,,38.8,"(38.8, None)"
574,PC71BM,2.87,,0.96,,6.8,,43.5,"(43.5, None)"
575,CH3NH3PbClI2,5.0,,0.75,,16.3,,40.0,"(40.0, None)"
576,PPyTDPP-TT,5.48,,0.82,,10.8,,61.7,"(61.7, None)"
577,PPyTDPP-BT,7.56,,0.825,,14.14,,64.8,"(64.8, None)"
578,P3HT:PCBM,3.4,,0.56,,10.3,,55.00000000000001,"(55.00000000000001, None)"
579,P3HT:PCBM,2.8,,0.54,,9.5,,54.0,"(54.0, None)"
580,P3HT:PCBM,3.76,,0.61,,8.75,,69.83,"(69.83, None)"
581,PCDTBT:PC70BM,5.73,,0.88,,10.36,,63.23,"(63.23, None)"
582,SubPc:C60,3.11,,1.11,,4.78,,58.59,"(58.59, None)"
583,P3HT:PC61BM,3.56,,0.6,,8.88,,63.5,"(63.5, None)"
584,PB3T2:IT-M,11.4,,0.96,,18.4,,64.0,"(64.0, None)"
585,PBDB-TF:IT-4F,13.0,,0.87,,20.7,,78.0,"(78.0, None)"
586,PBDB-TCl:IT-4F,13.7,,0.87,,20.7,,78.0,"(78.0, None)"
587,TQ1a:PC70BM,5.4,,0.86,,9.4,,67.0,"(67.0, None)"
588,PB3T:IT-M,12.1,,0.98,,17.8,,66.0,"(66.0, None)"
589,PTB7:PC71BM,9.12,,0.76,,18.3,,78.0,"(78.0, None)"
590,PTB7:PC70BM,8.2,,0.75,,15.2,,65.0,"(65.0, None)"
591,CH3NH3PbI3,9.46,,0.9,,13.09,,80.33,"(80.33, None)"
592,Integrated Cell,6.63,,0.86,,12.67,,60.84,"(60.84, None)"
593,PBDB-T,14.2,,1.11,,15.33,,81.7,"(81.7, None)"
594,PBDB-T-2Cl,14.03,,1.2,,14.19,,77.2,"(77.2, None)"
595,PBDB-T-2F,14.87,,1.2,,14.62,,81.7,"(81.7, None)"
596,PBDB-T-Si,15.6,,1.2,,15.28,,82.5,"(82.5, None)"
597,ZnO,6.8,,0.74,,14.29,,64.5,"(64.5, None)"
598,ZnO/F-CdS,7.6,,0.74,,15.83,,65.1,"(65.1, None)"
599,ZnO/B-CdS,7.7,,0.74,,14.93,,69.6,"(69.6, None)"
600,ZnO/S-CdS,8.0,,0.74,,16.19,,66.6,"(66.6, None)"
601,TiO2–SnO2 MSC,0.802,,17.16,,0.621,,8.54,"(8.54, None)"
602,Pristine SnO2 MSC,0.546,,10.94,,0.633,,3.76,"(3.76, None)"
603,ST-5,8.83,,0.79,,18.46,,61.0,"(61.0, None)"
604,ST-10,9.75,,0.83,,19.86,,59.0,"(59.0, None)"
605,ST-15,8.77,,0.74,,19.73,,60.0,"(60.0, None)"
606,PM7:TPIC-4Cl,15.31,,0.881,,23.03,,75.5,"(75.5, None)"
607,MAxFA1−xPbI3−yBry,20.55,,1.13,,23.51,,76.94,"(76.94, None)"
608,Hyperbranched zinc phthalocyanine (5),1.15,,0.491,,3.2,,73.1,"(73.1, None)"
609,Hyperbranched metal-free phthalocyanine (1),0.234,,0.434,,0.837,,64.4,"(64.4, None)"
610,Hyperbranched aluminum phthalocyanine chloride (2),0.294,,0.424,,1.05,,66.2,"(66.2, None)"
611,Hyperbranched cobalt phthalocyanine (3),0.096,,0.324,,0.425,,70.0,"(70.0, None)"
612,Hyperbranched copper phthalocyanine (4),0.233,,0.42,,0.805,,68.8,"(68.8, None)"
613,"P3HT:PC60BM, PTB7:PC70BM",7.66,,0.74,,19.84,,63.0,"(63.0, None)"
614,Aza-Bthp:PC70BM,2.44,,0.745,,6.4,,49.3,"(49.3, None)"
615,Aza-Fhdt:PC70BM,1.2,,0.5,,4.9,,45.4,"(45.4, None)"
616,acetonitrile-based poly(AA/PEG) gel electrolyte,5.32,,0.685,,12.32,,63.0,"(63.0, None)"
617,full-ionic liquid-based poly(AA/PEG) gel electrolyte,6.12,,0.71,,12.68,,69.0,"(69.0, None)"
618,WO3,6.67,,0.86,,8.19,,67.73,"(67.73, None)"
619,MoO3,4.82,,0.86,,8.09,,67.3,"(67.3, None)"
620,(BA)2(MA)3Pb4I13,12.52,,1.09,,19.12,,73.75,"(73.75, None)"
621,(BA)2(MA)3Pb4I13 (SnO2 electron transporting layer),20.6,,1.14,,22.7,,80.0,"(80.0, None)"
622,Graded PEAMAPbI3/MAPbI3 perovskites,14.94,,1.08,,18.63,,73.0,"(73.0, None)"
623,Graded PEA2Pb2I4/MAPbI3 perovskites,19.89,,1.17,,21.8,,78.0,"(78.0, None)"
624,1D–3D hetero-structured perovskites,18.1,,1.08,,21.7,,77.0,"(77.0, None)"
625,0D–2D–3D multi-graded CsPbBrI2 perovskites,12.39,,1.19,,12.93,,80.5,"(80.5, None)"
626,JK-216,6.29,,0.61,,13.93,,74.01,"(74.01, None)"
627,JK-217,1.96,,0.7,,5.08,,54.0,"(54.0, None)"
628,"AFB-30, AFB-31, AFB-32, EO3",4.53,,0.829,,7.17,,78.0,"(78.0, None)"
629,1D-RTNRA,15.0,,0.99,,22.9,,66.0,"(66.0, None)"
630,3D-RTNDA,18.0,,1.08,,22.8,,73.0,"(73.0, None)"
631,Porphyrin sensitized solar cells (PSSCs),2.45,,0.48,,10.1,,50.7,"(50.7, None)"
632,PSCs,7.91,,0.75,,15.2,,69.0,"(69.0, None)"
633,PSCs,3.17,,0.585,,9.04,,60.0,"(60.0, None)"
634,DSSCs,7.96,,0.77,,16.54,,63.0,"(63.0, None)"
635,Perovskite solar cells (PSCs),14.7,,1.03,,23.6,,60.5,"(60.5, None)"
636,CH3NH3PbI3,8.76,,0.93,,18.18,,51.8,"(51.8, None)"
637,N/A,9.24,,0.78,,17.33,,69.11,"(69.11, None)"
638,MAI and PbI2 (99.9% purity),12.6,,0.87,,22.5,,63.4,"(63.4, None)"
639,MAI and PbI2 (99% purity),8.8,,0.81,,17.8,,57.5,"(57.5, None)"
640,MAI and PbI2 (98% purity),4.9,,0.74,,15.2,,43.6,"(43.6, None)"
641,MAI and PbI2 (99.9% purity),12.2,,0.85,,19.6,,73.2,"(73.2, None)"
642,MAI and PbI2 (99% purity),12.1,,0.86,,19.3,,72.5,"(72.5, None)"
643,MAI and PbI2 (98% purity),11.9,,0.9,,19.0,,69.9,"(69.9, None)"
644,N/A,8.24,,0.78,,15.09,,70.0,"(70.0, None)"
645,CdTe/CdSe,5.81,,0.65,,15.28,,58.5,"(58.5, None)"
646,Blend of P2 and PCBM,0.63,,0.51,,3.23,,39.0,"(39.0, None)"
647,PI-BDT1:Y6,0.1,,0.62,,0.5,,23.4,"(23.4, None)"
648,PC-BDT1:Y6,5.2,,0.83,,12.8,,48.9,"(48.9, None)"
649,PC-BDT2:Y6,7.9,,0.83,,18.1,,52.3,"(52.3, None)"
650,unknown,1.4,,0.62,,2.0,,55.0,"(55.0, None)"
651,PMAMI 50,3.15,,0.52,,9.2,,65.87,"(65.87, None)"
652,P3HT,1.4,,0.57,,3.8,,47.0,"(47.0, None)"
653,PTB7,8.4,,0.9,,16.4,,69.0,"(69.0, None)"
654,HFQx-T:ITTC,8.19,,0.88,,15.05,,61.0,"(61.0, None)"
